BA	2024	 4	   32369816.00	    7899985.00	   27777852.00	FPE                 	FUNDEB              	
BA	2024	 4	          0.00	   15233858.00	          0.00	ANP                 	Royalties           	
BA	2024	 4	          0.00	          0.00	    6842529.00	FEP                 	Royalties           	
BA	2024	 4	          0.00	          0.00	    2286387.50	CFEM                	Royalties           	
BA	2024	 4	    1800630.63	          0.00	          0.00	CFH                 	Royalties           	
BA	2024	 4	          0.00	          0.00	    9940438.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
BA	2024	 4	          0.00	          0.00	    6140923.50	COUN VAAR           	FUNDEB              	
BA	2024	 4	          0.00	          0.00	   78368464.00	COUN VAAF           	FUNDEB              	
CE	2024	 4	    6105080.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
CE	2024	 4	  386692192.00	   94778144.00	  329499424.00	FPE                 	FPE                 	
CE	2024	 4	    2048357.88	     955901.88	     214554.19	IPI-EXP             	IPI-Exp             	
CE	2024	 4	   16756935.00	    4064236.50	   14526375.00	FPM                 	FUNDEB              	
CE	2024	 4	     122364.41	      57103.40	      12816.96	IPI-EXP             	FUNDEB              	
CE	2024	 4	       1728.85	        510.27	        613.46	ITR                 	FUNDEB              	
CE	2024	 4	    7811388.50	    2531813.00	    1401332.75	IPVA                	FUNDEB              	
CE	2024	 4	     829062.44	       1838.48	          0.00	ITCMD               	FUNDEB              	
CE	2024	 4	   12990320.00	   22334254.00	   40726976.00	ICMS                	FUNDEB              	
CE	2024	 4	   23100134.00	    5661836.00	   19683566.00	FPE                 	FUNDEB              	
CE	2024	 4	          0.00	     355800.22	          0.00	ANP                 	Royalties           	
CE	2024	 4	          0.00	          0.00	    5094165.00	FEP                 	Royalties           	
CE	2024	 4	          0.00	          0.00	     177177.94	CFEM                	Royalties           	
CE	2024	 4	          0.00	          0.00	    2104300.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
CE	2024	 4	          0.00	          0.00	   57939876.00	COUN VAAF           	FUNDEB              	
DF	2024	 4	    2828233.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
DF	2024	 4	   36972812.00	    8992212.00	   31907916.00	FPE                 	FPE                 	
DF	2024	 4	     433608.00	     202350.72	      45418.06	IPI-EXP             	IPI-Exp             	
DF	2024	 4	    3080632.00	     747178.38	    2670561.00	FPM                 	FUNDEB              	
DF	2024	 4	     108401.99	      50587.67	      11354.50	IPI-EXP             	FUNDEB              	
DF	2024	 4	       4677.65	       1454.80	       1290.67	ITR                 	FUNDEB              	
DF	2024	 4	    7109270.50	   10509610.00	   15423214.00	IPVA                	FUNDEB              	
DF	2024	 4	    1270728.13	    1801560.13	    2042744.88	ITCMD               	FUNDEB              	
DF	2024	 4	   27702252.00	   96156968.00	   66988752.00	ICMS                	FUNDEB              	
DF	2024	 4	    9243203.00	    2248053.00	    7976979.00	FPE                 	FUNDEB              	
DF	2024	 4	          0.00	          0.00	     261281.95	CFEM                	Royalties           	
DF	2024	 4	      27037.84	          0.00	          0.00	CFH                 	Royalties           	
DF	2024	 4	          0.00	       2037.23	          0.00	ITA                 	Royalties           	
DF	2024	 4	          0.00	          0.00	    1012187.50	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
DF	2024	 4	          0.00	          0.00	     458093.28	COUN VAAR           	FUNDEB              	
ES	2024	 4	    3328482.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
ES	2024	 4	   84138504.00	   20026908.00	   75135296.00	FPE                 	FPE                 	
ES	2024	 4	    8771199.00	    4093232.75	     918734.75	IPI-EXP             	IPI-Exp             	
ES	2024	 4	    8162072.50	    1979633.75	    7075597.50	FPM                 	FUNDEB              	
ES	2024	 4	     720483.94	     336226.38	      75466.72	IPI-EXP             	FUNDEB              	
ES	2024	 4	       2947.40	       1069.03	       1236.70	ITR                 	FUNDEB              	
ES	2024	 4	    5700765.00	    9481727.00	   10420125.00	IPVA                	FUNDEB              	
ES	2024	 4	     485953.97	     229964.50	     439738.16	ITCMD               	FUNDEB              	
ES	2024	 4	   13790905.00	   44027464.00	   63032624.00	ICMS                	FUNDEB              	
ES	2024	 4	    6911306.00	    1645050.50	    6171764.50	FPE                 	FUNDEB              	
ES	2024	 4	     423450.13	   57241784.00	   29913726.00	ANP                 	Royalties           	
ES	2024	 4	          0.00	   72446752.00	          0.00	PEA                 	Royalties           	
ES	2024	 4	          0.00	          0.00	    1404488.38	FEP                 	Royalties           	
ES	2024	 4	          0.00	          0.00	     183672.56	CFEM                	Royalties           	
ES	2024	 4	     202015.69	          0.00	          0.00	CFH                 	Royalties           	
ES	2024	 4	          0.00	          0.00	    6677875.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
ES	2024	 4	          0.00	          0.00	    2052619.75	COUN VAAR           	FUNDEB              	
GO	2024	 4	    8342817.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
GO	2024	 4	  153778512.00	   37230212.00	  133697696.00	FPE                 	FPE                 	
GO	2024	 4	    6655335.00	    3105828.00	     697109.63	IPI-EXP             	IPI-Exp             	
GO	2024	 4	   21258026.00	    5155933.00	   18428314.00	FPM                 	FUNDEB              	
GO	2024	 4	     671558.25	     313394.38	      70342.07	IPI-EXP             	FUNDEB              	
GO	2024	 4	     208957.34	     132138.86	     149856.11	ITR                 	FUNDEB              	
GO	2024	 4	    2116066.25	    6818706.50	    3552814.75	IPVA                	FUNDEB              	
GO	2024	 4	    2279987.25	    2313321.50	    1585424.25	ITCMD               	FUNDEB              	
GO	2024	 4	   36088104.00	  155229360.00	    7625542.00	ICMS                	FUNDEB              	
GO	2024	 4	   15517058.00	    3756723.75	   13490799.00	FPE                 	FUNDEB              	
GO	2024	 4	          0.00	          0.00	    2254993.25	FEP                 	Royalties           	
GO	2024	 4	          0.00	          0.00	    2019471.38	CFEM                	Royalties           	
GO	2024	 4	    4891079.00	          0.00	          0.00	CFH                 	Royalties           	
GO	2024	 4	          0.00	     829243.06	          0.00	ITA                 	Royalties           	
GO	2024	 4	          0.00	          0.00	   16100576.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
GO	2024	 4	          0.00	          0.00	    5290384.00	COUN VAAR           	FUNDEB              	
