9 %2s %4d %2d %14.2lf %14.2lf %14.2lf %-20s %-20s %-2s
BA;2024;04;0;0;9940438.03;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
BA;2024;04;0;0;6140923.42;COUN VAAR;FUNDEB;
BA;2024;04;0;0;78368462.12;COUN VAAF;FUNDEB;
CE;2024;04;6105080.62;0;0;CIDE/Combustível;CIDE-Combustíveis;
CE;2024;04;386692189.27;94778144.28;329499432.15;FPE;FPE;
CE;2024;04;2048357.89;955901.86;214554.19;IPI-EXP;IPI-Exp;
CE;2024;04;16756934.87;4064236.62;14526374.84;FPM;FUNDEB;
CE;2024;04;122364.41;57103.4;12816.96;IPI-EXP;FUNDEB;
CE;2024;04;1728.85;510.27;613.46;ITR;FUNDEB;
CE;2024;04;7811388.34;2531812.93;1401332.77;IPVA;FUNDEB;
CE;2024;04;829062.44;1838.48;0;ITCMD;FUNDEB;
CE;2024;04;12990320.02;22334253.6;40726975.77;ICMS;FUNDEB;
CE;2024;04;23100133.61;5661836.03;19683565.1;FPE;FUNDEB;
CE;2024;04;0;355800.22;0;ANP;Royalties;
CE;2024;04;0;0;5094165.24;FEP;Royalties;
CE;2024;04;0;0;177177.94;CFEM;Royalties;
CE;2024;04;0;0;2104300.01;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
CE;2024;04;0;0;57939877.92;COUN VAAF;FUNDEB;
DF;2024;04;2828233.4;0;0;CIDE/Combustível;CIDE-Combustíveis;
DF;2024;04;36972811.9;8992211.69;31907915.29;FPE;FPE;
DF;2024;04;433608;202350.72;45418.06;IPI-EXP;IPI-Exp;
DF;2024;04;3080632.09;747178.36;2670560.98;FPM;FUNDEB;
DF;2024;04;108401.99;50587.67;11354.5;IPI-EXP;FUNDEB;
DF;2024;04;4677.65;1454.8;1290.67;ITR;FUNDEB;
DF;2024;04;7109270.44;10509609.99;15423214.39;IPVA;FUNDEB;
DF;2024;04;1270728.1;1801560.07;2042744.84;ITCMD;FUNDEB;
DF;2024;04;27702251.2;96156968.17;66988752.32;ICMS;FUNDEB;
DF;2024;04;9243202.97;2248052.91;7976978.82;FPE;FUNDEB;
DF;2024;04;0;0;261281.95;CFEM;Royalties;
DF;2024;04;27037.84;0;0;CFH;Royalties;
DF;2024;04;0;2037.23;0;ITA;Royalties;
DF;2024;04;0;0;1012187.5;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
DF;2024;04;0;0;458093.27;COUN VAAR;FUNDEB;
ES;2024;04;3328482.54;0;0;CIDE/Combustível;CIDE-Combustíveis;
ES;2024;04;84138503.58;20026907.44;75135298.05;FPE;FPE;
ES;2024;04;8771199.04;4093232.67;918734.72;IPI-EXP;IPI-Exp;
ES;2024;04;8162072.66;1979633.8;7075597.49;FPM;FUNDEB;
ES;2024;04;720483.91;336226.37;75466.72;IPI-EXP;FUNDEB;
ES;2024;04;2947.4;1069.03;1236.7;ITR;FUNDEB;
ES;2024;04;5700764.93;9481726.82;10420124.53;IPVA;FUNDEB;
ES;2024;04;485953.98;229964.5;439738.15;ITCMD;FUNDEB;
ES;2024;04;13790904.91;44027462.36;63032625.92;ICMS;FUNDEB;
ES;2024;04;6911305.82;1645050.46;6171764.37;FPE;FUNDEB;
ES;2024;04;423450.13;57241783.84;29913725.12;ANP;Royalties;
ES;2024;04;0;72446749.08;0;PEA;Royalties;
ES;2024;04;0;0;1404488.36;FEP;Royalties;
ES;2024;04;0;0;183672.56;CFEM;Royalties;
ES;2024;04;202015.68;0;0;CFH;Royalties;
ES;2024;04;0;0;6677875.13;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
ES;2024;04;0;0;2052619.81;COUN VAAR;FUNDEB;
